Gravedad_Indicador_Tradicional,Dia_Semana_Acc,Localidad,Clase_Acc,Elemento_Choque,Con_Bicicleta,Con_Carga,Con_Embriaguez,Con_Huecos,Con_Menores,Con_Moto,Con_Peaton,Con_Persona_Mayor,Con_Rutas,Con_Tpi,Con_Tpp,Con_Velocidad,Con_Sitp,Con_Troncal,Con_Alimentador,Con_Zonal,Con_Provisional,Con_Articulado,Con_Biarticulado,Con_Padron_Dual,Con_Servicio_Especial,Con_Taxi
Solo Daños,lunes,BOSA,Choque,Vehículo,,,,,SI,,,,,,,,,,,,,,,,,
Solo Daños,sábado,ENGATIVÁ,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Con Heridos,jueves,ANTONIO NARIÑO,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Solo Daños,viernes,USAQUÉN,Choque,Vehículo,,,,,,,,,,,SI,,,,,,,,,,,
Con Heridos,domingo,FONTIBÓN,Choque,Vehículo,,SI,,,,,,,,,,,,,,,,,,,,
Solo Daños,martes,ENGATIVÁ,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Solo Daños,jueves,BOSA,Choque,Vehículo,,,,,,,,,,,SI,,,,,,,,,,SI,
Con Heridos,viernes,CHAPINERO,Choque,Vehículo,,,,,,SI,,,,,SI,,,,,,,,,,,
Con Heridos,viernes,TEUSAQUILLO,Atropello,,,,,,,SI,SI,,,,,,,,,,,,,,,
Con Heridos,miércoles,SUBA,Choque,Vehículo,,,,,,SI,,SI,,SI,,,,,,,,,,,,SI
Con Heridos,jueves,ENGATIVÁ,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Con Heridos,lunes,LOS MÁRTIRES,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Solo Daños,viernes,KENNEDY,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Solo Daños,domingo,PUENTE ARANDA,Choque,,,,,,,,,,,,,,,,,,,,,,,
Solo Daños,lunes,LOS MÁRTIRES,Choque,Vehículo,,,,,,SI,,SI,,,,,,,,,,,,,,
Con Heridos,martes,KENNEDY,Choque,Vehículo,SI,,,,,SI,,,,,,,,,,,,,,,,
Solo Daños,jueves,SANTA FE,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,martes,PUENTE ARANDA,Choque,Vehículo,,,,,,,,,,,SI,,SI,,,SI,,,,,,
Con Heridos,lunes,KENNEDY,Caida de ocupante,,,,,,SI,,,,,,SI,,SI,,SI,,,,,,,
Solo Daños,martes,PUENTE ARANDA,Choque,Vehículo,,SI,,,,,,,,,,,,,,,,,,,,
Solo Daños,sábado,LOS MÁRTIRES,Choque,Vehículo,,,,,,,,,,SI,SI,,SI,,,SI,,,,,,SI
Solo Daños,sábado,SAN CRISTÓBAL,Choque,Objeto Fijo,,,,,,,,,,,,,,,,,,,,,,
Con Heridos,miércoles,KENNEDY,Choque,Vehículo,,,,,,SI,SI,SI,,,SI,,SI,,,SI,,,,,,
Con Muertos,lunes,SANTA FE,Atropello,,,,,,,,SI,,,,,SI,,,,,,,,,,
Con Muertos,domingo,LOS MÁRTIRES,Choque,Vehículo,,,,,,,SI,SI,,SI,,,,,,,,,,,,SI
Solo Daños,lunes,PUENTE ARANDA,Choque,Objeto Fijo,,,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,miércoles,TEUSAQUILLO,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,domingo,BARRIOS UNIDOS,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Con Heridos,jueves,TEUSAQUILLO,Volcamiento,,,,,,,SI,,,,,,,,,,,,,,,,
Solo Daños,miércoles,KENNEDY,Choque,Vehículo,,,,,,,,,,,SI,,SI,,SI,,,,,,,
Con Heridos,miércoles,BARRIOS UNIDOS,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Solo Daños,jueves,USAQUÉN,Choque,Vehículo,,SI,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,viernes,USAQUÉN,Choque,Vehículo,,,,,,,,SI,,,SI,,SI,,,SI,,,,,,
Solo Daños,miércoles,PUENTE ARANDA,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Solo Daños,sábado,FONTIBÓN,Choque,Vehículo,,SI,,,,,,,,,,,,,,,,,,,,
Solo Daños,jueves,SUBA,Choque,Vehículo,,SI,,,,,,SI,,,,,,,,,,,,,SI,
